brandDomain,instagramHandle,followers,followers_growth30d,postCount,publishTime_latest,maxCountry,maxCountryPercent,avgAge,genderManPercent,genderWomanPercent,demographicUpdatedAt,product type
maybelline.com,corecty_net,274258,0.003064881867,1,1775815286000,JPN,0.7633,31.6599,0.1784,0.8216,2026-01-11,Cosmetics
hm.com,mspaulabee,104471,0.005705197604,2,1775814343000,USA,0.3868,32.3497,0.3887,0.6113,2026-01-11,Retails
hm.com,shubhra.vaity,286850,0.02452875188,1,1775807795000,,,,,,,Retails
hm.com,salonijhaa,73471,-0.006475392663,5,1775804290000,GBR,0.5133,29.00975,0.2522,0.7478,2026-01-11,Retails
hm.com,ikisvon,103925,0.0630633639,1,1775803828000,IND,0.5938,31.7912,0.3679,0.6321,2026-01-11,Retails
temu.com,evelineeats,10637,0.001533783602,2,1775783892000,USA,0.4797,,,,2026-01-11,E-commerce
temu.com,fifiimarie,329334,0.01113267098,1,1775781067000,USA,0.2,31.58,0.07,0.93,2026-01-11,E-commerce
samsung.com,henryvanwincoop,113112,0.2295317188,4,1775778527000,USA,0.6409,29.79395,0.6674,0.3326,2026-01-11,Smartphone
nike.com,chakey_,151167,-0.003540005894,1,1775775923000,,,,,,,Sportswear
temu.com,pinkposhtv,320328,-0.004831192726,1,1775772852000,,,,,,,E-commerce
samsung.com,ournestonpowell,129855,-0.001652956101,1,1775768519000,,,32.3061,0.1224,0.8776,2026-01-11,Smartphone
lancome.com,pipiquiroz,15385,0.01637530144,1,1775760875000,USA,0.7004,30.45445,0.186,0.814,2026-01-11,Skincare
hm.com,sanjanabatra,315329,0.0004430768746,1,1775748772000,,,31.87985,0.1498,0.8502,2026-01-11,Retails
hm.com,liafik,106823,-0.006113053953,1,1775748142000,USA,0.7471,31.66645,0.1667,0.8333,2026-01-11,Retails
tissot.ch,gioielleriatondo,13596,0.002211900022,3,1775742793000,ITA,0.8284,32.49195,0.2232,0.7768,2026-01-11,Watch
gucci.com,voguebrasil,4627897,0.002402355449,1,1775738940000,BRA,0.8795,31.18575,0.3299,0.6701,2026-01-11,Retails
hm.com,whowhatwear.uk,352173,0.01194485311,1,1775734140000,GBR,0.5103,32.0736,0.222,0.778,2026-01-11,Retails
samsung.com,keeganevansphoto,946186,0.0259973043,7,1775732555000,USA,0.7935,26.49,0.44,0.56,2026-01-11,Smartphone
maybelline.com,unakrlic,113254,0.005558120538,3,1775727219000,,,,,,,Cosmetics
shopee.com,kittyhi1004,27226,0.1352986754,1,1775717253000,TWN,0.8916,,,,2026-01-11,E-commerce
temu.com,cumadiduda,316307,0.015709681,1,1775689931000,,,,,,,E-commerce
lancome.com,sarabiderman,93842,-0.0001546621886,1,1775671451000,USA,0.4374,29.2951,0.304,0.696,2026-01-11,Skincare
temu.com,nver.edoiann,60337,0.002605304421,1,1775666990000,SWE,0.6973,,,,2026-01-11,E-commerce
nike.com,badcatclub_,90468,0.0005308560053,1,1775649743000,,,,,,,Sportswear
lancome.com,brookemcauley_,35458,0.001581831535,1,1775635023000,,,,,,,Skincare
hm.com,singini.chowdhury,120793,-0.006459559808,2,1775629452000,,,,,,,Retails
temu.com,brayjoe828,30546,,1,1775605341000,USA,0.4797,,,,2026-01-11,E-commerce
lancome.com,christinadueholm,205878,0.005196426434,1,1775582090000,,,34.5176,0.0618,0.9382,2026-01-11,Skincare
lancome.com,iamkamiam_,467199,-0.0008860963859,1,1775573912000,USA,0.8132,32.99185,0.3282,0.6718,2026-01-11,Skincare
temu.com,home.cook.french,22635,-0.004287787502,2,1775567817000,FRA,0.8842,,,,2026-01-11,E-commerce
temu.com,filo.perfetto,105524,-0.0005291070958,2,1775564674000,ITA,0.8753,30.9307,0.4046,0.5954,2026-01-11,E-commerce
hm.com,lemonppp0623,91509,-0.002169930649,1,1775561307000,JPN,0.838,30.0457,0.1592,0.8408,2026-01-11,Retails
maybelline.com,marige333,220288,0.003885840676,1,1775556461000,JPN,0.8483,28.08335,0.3989,0.6011,2026-01-11,Cosmetics
dior.com,grapeintokyo,219975,0.0000893595647,1,1775554532000,USA,0.5508,31.47765,0.393,0.607,2026-01-11,Retails
temu.com,gaytangi,5729,-0.006761442441,2,1775513415000,,,,,,,E-commerce
samsung.com,joelroac,343400,0.0174926478,1,1775511595000,,,,,,,Smartphone
maybelline.com,lsacino,328704,-0.007565641433,2,1775508397000,USA,0.512,27.4357,0.2903,0.7097,2026-01-11,Cosmetics
nike.com,ornemayinga,165367,-0.004019235834,4,1775491083000,,,,,,,Sportswear
lancome.com,y.hyein,386159,0.01600916601,1,1775475849000,,,35.5698,0.1449,0.8551,2026-01-11,Skincare
maybelline.com,riho_lip1010,31999,0.006833853827,1,1775473567000,JPN,0.8483,30.3697,0.2462,0.7538,2026-01-11,Cosmetics
maybelline.com,niinana27,149109,0.003249767874,1,1775467889000,JPN,0.8132,29.26715,0.2348,0.7652,2026-01-11,Cosmetics
maybelline.com,fortune_press,102945,-0.0007474131739,2,1775464282000,JPN,0.7971,31.18805,0.2918,0.7082,2026-01-11,Cosmetics
lancome.com,missipanda,291150,0.001610572233,1,1775296557000,ITA,0.8761,28.26595,0.5608,0.4392,2026-01-11,Skincare
lancome.com,vickykaya_,623629,-0.001005834757,2,1775288554000,USA,0.5931,30.94875,0.2516,0.7484,2026-01-11,Skincare
temu.com,pixi_lon,26503,0.0581396099,2,1775261261000,,,29.8838,0.81,0.19,2026-01-11,E-commerce
gucci.com,kensnation,435747,-0.00285991732,1,1775258693000,USA,0.7024,29.0276,0.2643,0.7357,2026-01-11,Retails
temu.com,diycomvivi,1751879,0.002199040637,4,1775253685000,BRA,1,40.565,0.1,0.9,2026-01-11,E-commerce
temu.com,dreamsofrim,203056,0.1823908027,1,1775252351000,USA,0.8163,,,,2026-01-11,E-commerce
hm.com,jacksondean,640517,0.004011235849,4,1775237906000,,,28.98155,0.3597,0.6403,2026-01-11,Retails
nike.com,cfabastin,19876,0.01947006973,3,1775236117000,USA,0.4593,,,,2026-01-11,Sportswear
lancome.com,voulgaraki_el,150080,0.001580880686,1,1775233011000,,,31.9587,0.1588,0.8412,2026-01-11,Skincare
samsung.com,tolutemi,63665,0.05053115946,1,1775229987000,USA,0.6194,31.9433,0.1885,0.8115,2026-01-11,Smartphone
samsung.com,wildgina,127372,0.03818660494,1,1775229927000,USA,0.8163,,,,2026-01-11,Smartphone
temu.com,jiweoncreates,7206,0.007832167832,4,1775214525000,,,,,,,E-commerce
maybelline.com,kumagoma0731,88528,,1,1775213854000,JPN,0.7628,26.3089,0.2102,0.7898,2026-01-11,Cosmetics
maybelline.com,moe_nobori,145182,0.0003359057397,2,1775203570000,JPN,0.8285,34.30455,0.191,0.809,2026-01-11,Cosmetics
lancome.com,moe_nobori,145182,0.0003359057397,1,1775203570000,JPN,0.8285,34.30455,0.191,0.809,2026-01-11,Skincare
temu.com,micmalditravel,89974,-0.004394075138,1,1775202300000,ITA,0.8449,28.72455,0.3434,0.6566,2026-01-11,E-commerce
gucci.com,florenceoginni,32420,-0.0003878964376,1,1775167622000,,,,,,,Retails
maybelline.com,jennajohnson,1436553,0.00396960457,1,1775159944000,,,34.58415,0.2249,0.7751,2026-01-11,Cosmetics
lancome.com,nathalieberzelius,15376,0.002567823138,2,1775142008000,USA,0.6437,,,,2026-01-11,Skincare
lancome.com,marieserneholt,246665,-0.0002392624128,1,1775142008000,USA,0.6437,,,,2026-01-11,Skincare
temu.com,maider_moua,8616,0.01720790681,1,1775141019000,,,,,,,E-commerce
hm.com,lianness,182171,-0.02307662206,2,1775126403000,,,,,,,Retails
maybelline.com,marseaux.wnc,138243,0.002734539335,3,1775123247000,,,32.37975,0.2644,0.7356,2026-01-11,Cosmetics
shopee.com,folio.stacey,13623,0.01522469046,1,1775116525000,TWN,0.8916,,,,2026-01-11,E-commerce
lancome.com,gemdimond,56911,0.005567830314,2,1775108141000,AUS,0.4254,31.13605,0.3889,0.6111,2026-01-11,Skincare
maybelline.com,jaydabeveridge,2515,0.01671891327,3,1775095302000,,,,,,,Cosmetics
nyxcosmetics.com,makeupbygermany,196832,0.008050779231,1,1775070026000,,,,,,,Cosmetics
maybelline.com,annathr,113625,-0.0001788235454,4,1775067185000,USA,0.6502,32.491,0.1864,0.8136,2026-01-11,Cosmetics
maybelline.com,tinanate,11906,0.004518507808,3,1775063576000,,,31.6292,0.5301,0.4699,2026-01-11,Cosmetics
maybelline.com,stefiex1,203243,-0.0005900778411,1,1775061622000,USA,0.2641,36.7116,0.1193,0.8807,2026-01-11,Cosmetics
lancome.com,chane_grobler18,96175,,1,1775058502000,USA,0.4714,29.18235,0.238,0.762,2026-01-11,Skincare
lancome.com,evelina_nikoliza,186379,0.003427907916,1,1775050091000,,,33.69355,0.2927,0.7073,2026-01-11,Skincare
lancome.com,katerinavisseri,58772,-0.0007650849244,2,1775041213000,,,30.6086,0.1628,0.8372,2026-01-11,Skincare
maybelline.com,giwta_iwannidou,48422,0.01951183045,1,1775038823000,,,30.62475,0.295,0.705,2026-01-11,Cosmetics
maybelline.com,kallisti_bee,57728,-0.002781184681,2,1775037372000,USA,0.5808,32.02945,0.1564,0.8436,2026-01-11,Cosmetics
clinique.com,crobinsonmd,81141,0.00008088470925,2,1774999520000,USA,0.7319,27.70715,0.22,0.78,2026-01-11,Skincare
samsung.com,tonyozkan,753670,-0.003230573605,1,1774993763000,USA,0.6353,29.99865,0.2406,0.7594,2026-01-11,Smartphone
hm.com,taylorjoypaul,298796,-0.01841490341,1,1774993562000,,,,,,,Retails
temu.com,daisykalan,45461,0.007088899227,1,1774974312000,USA,0.3928,38.44705,0.1051,0.8949,2026-01-11,E-commerce
samsung.com,jackrosen6,280690,0.03737184841,1,1774973824000,USA,0.6515,,,,2026-01-11,Smartphone
temu.com,vaall_machado,866131,0.008104710988,1,1774969521000,,,,,,,E-commerce
maybelline.com,amandaastrand,213123,-0.002205118121,2,1774967125000,SWE,0.6154,30.178,0.2304,0.7696,2026-01-11,Cosmetics
lancome.com,janinafry,35462,0.003793025362,1,1774966706000,,,32.89805,0.3603,0.6397,2026-01-11,Skincare
temu.com,__latania__,42202,-0.001076566806,2,1774966086000,ITA,0.8641,30.92,0.2839,0.7161,2026-01-11,E-commerce
lancome.com,hanjji,157795,-0.002244704395,1,1774955529000,JPN,0.8289,30.78175,0.2614,0.7386,2026-01-11,Skincare
lancome.com,tinapouty,1182509,-0.002461524415,1,1774947806000,JPN,0.7771,34.99985,0.2639,0.7361,2026-01-11,Skincare
lancome.com,unicewani,578486,-0.003908616058,1,1774916272000,SGP,0.4396,31.2765,0.3615,0.6385,2026-01-11,Skincare
temu.com,sofiasfurlanioficial,827134,-0.002062830686,1,1774900313000,BRA,0.4966,32.59895,0.2056,0.7944,2026-01-11,E-commerce
hm.com,yashwantsngh,42952,,3,1774878471000,IND,0.7677,,,,2026-01-11,Retails
samsung.com,jasonvmedia,136354,0.004441897767,2,1774877675000,USA,0.6243,32.74365,0.4458,0.5542,2026-01-11,Smartphone
maybelline.com,gablap_19,1514,0.003850432104,1,1774850471000,,,,,,,Cosmetics
nike.com,amee.quiroz,34857,0.006177294114,1,1774835270000,MEX,0.6956,28.75375,0.5636,0.4364,2026-01-11,Sportswear
temu.com,paulamartins00,266898,0.005995429899,3,1774797496000,BRA,0.7783,31.36435,0.6789,0.3211,2026-01-11,E-commerce
nike.com,aubin_gstv,25312,0.01750643915,2,1774722226000,FRA,0.7197,,,,2026-01-11,Sportswear
temu.com,vroom_vroom514,105051,0.00948454797,3,1774713742000,USA,0.7691,30.6109,0.4276,0.5724,2026-01-11,E-commerce
shopee.com,jia_1027,9719,-0.004028937668,1,1774708440000,,,,,,,E-commerce
maybelline.com,na.na1557,31529,-0.002677893481,1,1774701063000,JPN,0.7948,30.87975,0.2812,0.7188,2026-01-11,Cosmetics
hm.com,yashisingh___,49626,-0.009672206788,3,1774697508000,IND,0.7677,,,,2026-01-11,Retails
temu.com,victoria__secrieru,54866,-0.0005282812642,1,1774684382000,ESP,0.6581,32.8581,0.105,0.895,2026-01-11,E-commerce
hm.com,girlcalledluca,233912,0.00334091979,1,1774630447000,DEU,0.3794,29.7109,0.4704,0.5296,2026-01-11,Retails
nike.com,oemerpa,71193,0.002294805012,2,1774628142000,DEU,0.3881,,,,2026-01-11,Sportswear
samsung.com,shaneboyer_,235985,,1,1774622054000,USA,0.8163,,,,2026-01-11,Smartphone
hm.com,hamishpowell,202914,0.01473743168,1,1774620249000,GBR,0.5364,31.01935,0.4259,0.5741,2026-01-11,Retails
temu.com,miller.ev,3416120,-0.000737373015,1,1774612801000,USA,0.6786,32.14555,0.4391,0.5609,2026-01-11,E-commerce
lancome.com,giuliavalentina,999290,0.00167574012,1,1774606296000,,,30.69375,0.5209,0.4791,2026-01-11,Skincare
temu.com,hollylouiseditchfield,112027,,1,1774605855000,GBR,0.4381,31.2244,0.2599,0.7401,2026-01-11,E-commerce
shopee.com,jeannnie915,4965,0.0604709277,1,1774595492000,,,,,,,E-commerce
maybelline.com,sabbzziii,3747,2.014481094,1,1774580789000,,,,,,,Cosmetics
temu.com,young2_camping,72993,,2,1774573200000,KOR,0.4543,,,,2026-01-11,E-commerce
samsung.com,iamnancyjay,268046,0.009764403625,1,1774568173000,USA,0.5483,32.84825,0.4397,0.5603,2026-01-11,Smartphone
temu.com,perinazsiri,108835,0.01655025386,1,1774555662000,,,,,,,E-commerce
nyxcosmetics.com,olivia__makeup,271263,-0.001770279407,4,1774548251000,USA,0.8071,30.7701,0.198,0.802,2026-01-11,Cosmetics
hm.com,khushihegde,265552,0.01303719592,1,1774529933000,IND,0.7339,30.24135,0.2101,0.7899,2026-01-11,Retails
lancome.com,leina810,176382,-0.001952163506,1,1774521072000,JPN,0.7985,29.09385,0.4607,0.5393,2026-01-11,Skincare
hm.com,nolimit.dan_,41831,0.0001978782505,1,1774514931000,USA,0.3953,,,,2026-01-11,Retails
nike.com,tilakvarma9,6137638,0.01805697423,1,1774506955000,IND,0.8154,30.08075,0.3775,0.6225,2026-01-11,Sportswear
shopee.com,chaijun0116,10425,0.00180201826,1,1774506369000,TWN,0.8916,,,,2026-01-11,E-commerce
temu.com,bigsisofanime,109233,0.00648022879,2,1774466952000,,,,,,,E-commerce
clinique.com,julia.hatch,927129,-0.008875193736,2,1774465204000,USA,0.8163,,,,2026-01-11,Skincare
samsung.com,markonthemove,229448,-0.00214205545,3,1774455434000,USA,0.7266,33.64965,0.2988,0.7012,2026-01-11,Smartphone
maybelline.com,melissamradis,13688,0.2224703045,3,1774452333000,,,,,,,Cosmetics
lancome.com,yuriang_,396880,0.006826497287,1,1774436571000,JPN,0.8262,33.6397,0.2583,0.7417,2026-01-11,Skincare
temu.com,simo__fr_,39285,0.00767221516,1,1774425983000,ITA,0.8498,35.09595,0.1766,0.8234,2026-01-11,E-commerce
maybelline.com,chitti_design,204409,0.002549037726,1,1774407758000,JPN,0.7874,30.1298,0.3578,0.6422,2026-01-11,Cosmetics
hm.com,dealbadenisse,138138,0.002479318527,1,1774392433000,MEX,0.7312,33.8949,0.1594,0.8406,2026-01-11,Retails
samsung.com,laurenthelolife,108965,0.00352349457,1,1774388564000,USA,0.7176,,,,2026-01-11,Smartphone
samsung.com,mattsalcedo_,140110,-0.001745573724,2,1774379521000,,,,,,,Smartphone
lancome.com,gemmpinto,431120,0.006779273126,1,1774373589000,ESP,0.6678,30.5707,0.6728,0.3272,2026-01-11,Skincare
samsung.com,leanneansar,1124832,-0.0008637750744,1,1774371229000,USA,0.6895,31.77035,0.2111,0.7889,2026-01-11,Smartphone
samsung.com,balancebymacy,124678,0.08654182465,1,1774368753000,,,,,,,Smartphone
temu.com,mariamhasan21,126122,-0.00007432689563,1,1774367973000,TUR,0.2206,30.40855,0.1718,0.8282,2026-01-11,E-commerce
samsung.com,austinrutland,226165,0.01616135293,1,1774356051000,USA,0.8163,,,,2026-01-11,Smartphone
temu.com,blackjacktek,54463,,1,1774351230000,,,,,,,E-commerce
shopee.com,lovegigichiu,38336,-0.001889579682,1,1774345828000,,,29.78795,0.4993,0.5007,2026-01-11,E-commerce
temu.com,bonplanmode,174284,-0.00004016271638,3,1774340922000,,,,,,,E-commerce
temu.com,jcandsondraa,2960398,0.01245135363,1,1774312066000,,,,,,,E-commerce
temu.com,laurencodyandcharlie,40030,,1,1774268166000,,,,,,,E-commerce
hm.com,thatstreetstylee,105055,0.08490907025,2,1774259753000,IND,0.7677,,,,2026-01-11,Retails
maybelline.com,nao70818,252349,0.01061682512,1,1774259595000,,,33.1523,0.2806,0.7194,2026-01-11,Cosmetics
maybelline.com,_shiho99,45595,0.004914925505,1,1774252895000,JPN,0.8425,28.85335,0.2837,0.7163,2026-01-11,Cosmetics
temu.com,midotaher12,337514,0.1272749134,3,1774205385000,USA,0.2889,,,,2026-01-11,E-commerce
gucci.com,vanessahong,561138,-0.001586256511,1,1774196193000,USA,0.4866,29.54615,0.153,0.847,2026-01-11,Retails
temu.com,lucia__di__tommaso,22767,0.042394523,2,1774185531000,ITA,0.7966,35.4112,0.1542,0.8458,2026-01-11,E-commerce
maybelline.com,natsumi_sorayama,16457,-0.003008492724,1,1774172813000,JPN,0.8283,28.2618,0.2389,0.7611,2026-01-11,Cosmetics
temu.com,thatagamerx,37900,0.09964789084,3,1774117123000,BRA,0.8645,29.7464,0.1897,0.8103,2026-01-11,E-commerce
temu.com,veryveebrown,109315,0.0004805096148,2,1774116639000,GBR,0.5514,33.27225,0.4014,0.5986,2026-01-11,E-commerce
maybelline.com,vittoria.milanese,794672,-0.01337911836,1,1774106056000,ITA,0.7698,31.14125,0.2509,0.7491,2026-01-11,Cosmetics
temu.com,techngneer,34624,0.002225551503,10,1774091428000,,,,,,,E-commerce
maybelline.com,iiiii_yo.clean_927,11598,0.001122140699,1,1774063833000,JPN,0.7675,31.12925,0.3868,0.6132,2026-01-11,Cosmetics
temu.com,malik_bedelov,7285,0.0993081629,2,1774041753000,,,,,,,E-commerce
hm.com,maferneyra,2070497,0.001126892985,1,1774019904000,,,34.58015,0.1829,0.8171,2026-01-11,Retails
lancome.com,lindyklim,113417,-0.0001511276008,1,1773997233000,,,,,,,Skincare
lancome.com,antigoni_neophytou,96491,-0.004869694104,1,1773996564000,,,,,,,Skincare
lancome.com,makeupbyenrica,27118,0.001528152387,1,1773993090000,USA,0.6419,,,,2026-01-11,Skincare
lancome.com,etherealelsa,19013,0.03567614923,1,1773993039000,,,,,,,Skincare
temu.com,bielhomero,18027,-0.003495205447,1,1773968285000,BRA,0.8761,31.0529,0.3601,0.6399,2026-01-11,E-commerce
temu.com,capelazn,573303,0.0463700294,1,1773960967000,,,,,,,E-commerce
samsung.com,juliaakong,60999,-0.001604006743,2,1773956831000,USA,0.7729,29.4774,0.1784,0.8216,2026-01-11,Smartphone
temu.com,onlinespecialfinds,95933,0.001649699817,6,1773942977000,,,,,,,E-commerce
nike.com,adrientruong,134328,-0.003324221474,2,1773939915000,FRA,0.8362,35.73635,0.3277,0.6723,2026-01-11,Sportswear
samsung.com,justinescameraroll_,302874,0.0002459784236,1,1773938582000,,,32.26695,0.3333,0.6667,2026-01-11,Smartphone
samsung.com,jonanthonyjames,97003,0.00597439911,1,1773932413000,USA,0.4257,32.91595,0.3482,0.6518,2026-01-11,Smartphone
maybelline.com,bethanyfosberyy,60261,-0.0001716385589,1,1773919609000,,,,,,,Cosmetics
maybelline.com,ena_pi25,473192,,1,1773919283000,JPN,0.8358,27.4333,0.501,0.499,2026-01-11,Cosmetics
maybelline.com,onella_am,140771,-0.004315541429,1,1773907535000,USA,0.5359,29.8914,0.1438,0.8562,2026-01-11,Cosmetics
lancome.com,kaylaboyd_,63931,-0.001470399723,1,1773907079000,,,34.01925,0.2229,0.7771,2026-01-11,Skincare
lancome.com,rebeccalharding,114801,0.00125591983,1,1773904709000,USA,0.8163,,,,2026-01-11,Skincare
hm.com,vivekkeshari1,2426100,-0.003622470904,1,1773904613000,IND,0.7787,31.10875,0.3971,0.6029,2026-01-11,Retails
hm.com,vio1yy,20579,0.02717275251,2,1773904453000,USA,0.8138,30.0931,0.2914,0.7086,2026-01-11,Retails
lancome.com,hannahlaity,112449,0.003023815895,2,1773903247000,USA,0.5035,32.9419,0.1785,0.8215,2026-01-11,Skincare
lancome.com,natashayoung_silvermodel,63312,0.00695862798,1,1773901082000,,,,,,,Skincare
hm.com,shreyas_gg,28592,0.003995263796,4,1773899470000,DEU,0.397,31.5029,0.2058,0.7942,2026-01-11,Retails
hm.com,subojeetttt,55693,0.005485921725,1,1773897794000,,,31.63095,0.3969,0.6031,2026-01-11,Retails
shopee.com,der0311,19533,-0.001581186753,1,1773893904000,TWN,0.8916,,,,2026-01-11,E-commerce
shopee.com,eating_holic,46074,-0.001636449637,1,1773893316000,TWN,0.8914,31.1915,0.2006,0.7994,2026-01-11,E-commerce
maybelline.com,bono_gura,136938,0.00725526992,1,1773885557000,JPN,0.8373,28.30875,0.1573,0.8427,2026-01-11,Cosmetics
samsung.com,jonnyroams,213865,0.003300905456,1,1773873309000,USA,0.8163,31.5671,0.4034,0.5966,2026-01-11,Smartphone
samsung.com,prodhipo,130127,,2,1773870420000,,,,,,,Smartphone
samsung.com,itzsimon,152300,-0.005533221738,1,1773869756000,USA,0.8163,,,,2026-01-11,Smartphone
maybelline.com,foreverjaaja,19348,0.002909747655,1,1773863499000,FRA,0.6622,28.1143,0.1991,0.8009,2026-01-11,Cosmetics
